0.5,0.92,0.95,0.935
0.6,0.88,0.95,0.915
0.7,0.8,0.87,0.835
0.8,0.65,0.79,0.72
0.9,0.44,0.59,0.515
1,0.31,0.56,0.435
1.1,0.27,0.43,0.35
1.2,0.16,0.29,0.225
1.3,0.17,0.28,0.225
1.4,0.1,0.2,0.15
1.5,0.08,0.13,0.105
