Aashish,0,0.5,1,1,,,,,,,,,,,,,,,,
Bidur,2,0.5,1,1,,,,,,,,,,,,,,,,
Bidur,2,0.5,1,1,,,,,,,,,,,,,,,,
Deep,5,0.5,1,1,,,,,,,,,,,,,,,,
Deep,5,0.5,1,1,,,,,,,,,,,,,,,,
Deep,5,0.5,1,1,,,,,,,,,,,,,,,,
Dinesh,3,0.5,1,1,,,,,,,,,,,,,,,,
Dinesh,3,0.5,1,1,,,,,,,,,,,,,,,,
Dinesh,3,0.5,1,1,,,,,,,,,,,,,,,,
Dinesh,3,0.5,1,1,,,,,,,,,,,,,,,,
Madan,1,0.5,1,1,,,,,,,,,,,,,,,,
Madan,1,0.5,1,0,,,,,,,,,,,,,,,,
Madan,1,0.5,1,1,,,,,,,,,,,,,,,,
Madan,1,0.5,1,1,,,,,,,,,,,,,,,,
Madan,1,0.5,1,1,,,,,,,,,,,,,,,,
Bidur,2,0.5,0,1,,,,,,,,,,,,,,,,
Madan,1,0.5,0,1,,,,,,,,,,,,,,,,
Aavash,0,0.6,1,1,,,,,,,,,,,,,,,,
Aavash,0,0.6,1,0,,,,,,,,,,,,,,,,
Amrit,3,0.6,1,1,,,,,,,,,,,,,,,,
Amrit,3,0.6,1,1,,,,,,,,,,,,,,,,
Ashu,5,0.6,1,1,,,,,,,,,,,,,,,,
Ashu,5,0.6,1,1,,,,,,,,,,,,,,,,
Bibek,2,0.6,1,1,,,,,,,,,,,,,,,,
Bidur,2,0.6,1,1,,,,,,,,,,,,,,,,
Deep,5,0.6,1,1,,,,,,,,,,,,,,,,
Deep,5,0.6,1,1,,,,,,,,,,,,,,,,
Deep,5,0.6,1,1,,,,,,,,,,,,,,,,
Deep,5,0.6,1,1,,,,,,,,,,,,,,,,
Dinesh,3,0.6,1,1,,,,,,,,,,,,,,,,
Dinesh,3,0.6,1,1,,,,,,,,,,,,,,,,
Dinesh,3,0.6,1,0,,,,,,,,,,,,,,,,
Dinesh,3,0.6,1,1,,,,,,,,,,,,,,,,
Kamal,3,0.6,1,1,,,,,,,,,,,,,,,,
Kamal,3,0.6,1,1,,,,,,,,,,,,,,,,
Madan,1,0.6,1,1,,,,,,,,,,,,,,,,
Sheetal,4,0.6,1,1,,,,,,,,,,,,,,,,
Sheetal,4,0.6,1,1,,,,,,,,,,,,,,,,
Sujal,5,0.6,1,1,,,,,,,,,,,,,,,,
Amrit,3,0.6,0,1,,,,,,,,,,,,,,,,
Bidur,2,0.6,0,1,,,,,,,,,,,,,,,,
Sheetal,4,0.6,0,1,,,,,,,,,,,,,,,,
Aavash,0,0.7,1,0,,,,,,,,,,,,,,,,
Amrit,3,0.7,1,0,,,,,,,,,,,,,,,,
Amrit,3,0.7,1,1,,,,,,,,,,,,,,,,
Ashu,5,0.7,1,1,,,,,,,,,,,,,,,,
Ashu,5,0.7,1,1,,,,,,,,,,,,,,,,
Bibek,2,0.7,1,0,,,,,,,,,,,,,,,,
Bidur,2,0.7,1,0,,,,,,,,,,,,,,,,
Dinesh,3,0.7,1,1,,,,,,,,,,,,,,,,
Dinesh,3,0.7,1,1,,,,,,,,,,,,,,,,
Dinesh,3,0.7,1,1,,,,,,,,,,,,,,,,
Dinesh,3,0.7,1,1,,,,,,,,,,,,,,,,
Kamal,3,0.7,1,1,,,,,,,,,,,,,,,,
Madan,1,0.7,1,1,,,,,,,,,,,,,,,,
Madan,1,0.7,1,1,,,,,,,,,,,,,,,,
Sujal,5,0.7,1,0,,,,,,,,,,,,,,,,
Bidur,2,0.7,0,0,,,,,,,,,,,,,,,,
Dinesh,3,0.7,0,1,,,,,,,,,,,,,,,,
Dinesh,3,0.7,0,0,,,,,,,,,,,,,,,,
Dinesh,3,0.7,0,1,,,,,,,,,,,,,,,,
